epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,139.565,1.45073,1.57463,1.67192,0.95681,0,0,0,0,0,0,0,0,0,1.64575,12.7774,4.94145,1.05419,0,0.000328205,0.000328205,0.0675077
2,278.039,1.33939,1.38682,1.06096,0.9339,0,0.72865,0.59127,0.67474,0.3768,0.75024,0.46849,0.62163,0.3372,1.49814,2.3554,2.3666,0.99558,0,0.000596046,0.000596046,0.0344422
3,440.315,1.27221,1.20762,0.95623,0.91391,0,0.7745,0.37309,0.41477,0.25577,0.69116,0.33028,0.33281,0.12039,1.41895,3.18716,1.30538,0.99722,0,0.000797887,0.000797887,0.00131071
4,578.079,1.28371,1.1451,0.90774,0.92046,0,0.77317,0.7156,0.75901,0.46101,0.71614,0.70642,0.71922,0.38785,1.36241,1.46399,1.03605,0.9711,0,0.000703,0.000703,0.000703
5,713.216,1.20136,1.07896,0.84205,0.89564,0,0.86879,0.72783,0.81185,0.4796,0.8168,0.69535,0.75256,0.36762,1.36002,1.34354,0.93623,0.95101,0,0.000604,0.000604,0.000604
6,860.444,1.15886,1.05065,0.79292,0.88723,0,0.85561,0.76108,0.81926,0.52448,0.79227,0.68807,0.70945,0.34027,1.25402,1.27287,0.93889,0.93629,0,0.000505,0.000505,0.000505
7,995.226,1.12263,1.02381,0.75794,0.87604,0,0.81877,0.79205,0.82534,0.53132,0.79103,0.70615,0.73,0.37045,1.23523,1.18535,0.87425,0.926,0,0.000406,0.000406,0.000406
8,1133.49,1.09143,0.98916,0.72378,0.87268,0,0.88567,0.76758,0.85847,0.55478,0.88046,0.76584,0.84311,0.53321,1.23582,1.12961,0.84625,0.91988,0,0.000307,0.000307,0.000307
9,1273.31,1.06929,0.93461,0.69382,0.86375,0,0.90235,0.74924,0.86047,0.56978,0.88809,0.72802,0.84039,0.53677,1.18551,1.09809,0.81816,0.92304,0,0.000208,0.000208,0.000208
10,1411.47,1.04082,0.90252,0.66809,0.8583,0,0.88284,0.78351,0.86504,0.58062,0.86539,0.78899,0.86125,0.53861,1.17384,1.10608,0.803,0.90831,0,0.000109,0.000109,0.000109
